사용일자,new_승차수,new_하차수,합,승차비율,하차비율
2022-10-31 05:00:00,34,69,103,3.3009708737864076,6.699029126213592
2022-10-31 06:00:00,81,380,461,1.75704989154013,8.242950108459869
2022-10-31 07:00:00,163,1691,1854,0.8791801510248112,9.120819848975188
2022-10-31 08:00:00,277,5537,5814,0.4764361885104919,9.523563811489508
2022-10-31 09:00:00,252,2842,3094,0.8144796380090499,9.185520361990951
2022-10-31 10:00:00,314,1061,1375,2.2836363636363637,7.716363636363637
2022-10-31 11:00:00,476,814,1290,3.689922480620155,6.310077519379845
2022-10-31 12:00:00,601,795,1396,4.30515759312321,5.694842406876791
2022-10-31 13:00:00,706,844,1550,4.554838709677419,5.445161290322581
2022-10-31 14:00:00,906,706,1612,5.620347394540944,4.379652605459057
2022-10-31 15:00:00,977,504,1481,6.596893990546928,3.4031060094530723
2022-10-31 16:00:00,1250,503,1753,7.130633200228179,2.8693667997718197
2022-10-31 17:00:00,2665,534,3199,8.33072835261019,1.6692716473898095
2022-10-31 18:00:00,3935,537,4472,8.799194991055456,1.200805008944544
2022-10-31 19:00:00,1400,313,1713,8.172796263864564,1.8272037361354347
2022-10-31 20:00:00,1000,195,1195,8.368200836820083,1.6317991631799162
2022-10-31 21:00:00,1033,153,1186,8.709949409780776,1.2900505902192243
2022-10-31 22:00:00,655,130,785,8.343949044585987,1.6560509554140128
2022-10-31 23:00:00,228,84,312,7.3076923076923075,2.6923076923076925
2022-11-01 00:00:00,40,22,62,6.451612903225806,3.5483870967741935
